                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.59174,                0.44066,                0.92273,                0.98323,                0.98148,                 0.9945,                0.86209,                0.55881,                0.33836,                0.91818,              0.0013102,              0.0013102,              0.0013102
                     86,                0.58323,                0.42335,                0.91844,                0.95716,                0.99866,                0.99418,                0.86768,                0.55249,                0.33455,                 0.9121,              0.0013087,              0.0013087,              0.0013087
                     87,                0.58007,                0.42882,                0.91068,                0.96828,                0.98623,                0.99426,                0.86571,                0.52028,                0.36019,                0.87454,              0.0013073,              0.0013073,              0.0013073
                     88,                0.58131,                0.44014,                0.92309,                0.95885,                0.99427,                0.99002,                 0.8555,                0.57701,                0.37205,                0.89533,              0.0013059,              0.0013059,              0.0013059
                     89,                0.58104,                0.42707,                0.91308,                0.96717,                0.99074,                0.99128,                0.83769,                0.59154,                0.36691,                0.92818,              0.0013045,              0.0013045,              0.0013045
                     90,                0.56911,                0.41786,                0.90198,                 0.9697,                      1,                 0.9943,                 0.8766,                0.53586,                0.34293,                0.90793,              0.0013031,              0.0013031,              0.0013031
                     91,                0.56478,                0.42198,                0.91234,                0.98153,                 0.9888,                0.99343,                0.88069,                0.50625,                0.29716,                0.87557,              0.0013017,              0.0013017,              0.0013017
                     92,                0.57882,                0.42292,                0.91774,                0.97531,                0.98661,                0.99331,                0.87617,                0.54197,                0.35927,                0.88204,              0.0013003,              0.0013003,              0.0013003
                     93,                0.56288,                0.40842,                0.91658,                0.97723,                0.99039,                0.99469,                0.84065,                0.59374,                0.35557,                0.90495,              0.0012988,              0.0012988,              0.0012988
                     94,                0.57794,                0.42648,                0.92095,                0.97675,                0.99074,                0.99429,                 0.8661,                0.53849,                0.33281,                0.90543,              0.0012974,              0.0012974,              0.0012974
